QUEUE/ Request;Concern;ACTION;Email Address;Case Assignment/Email;
Inspection;"Class dispute and PRO has ""CLAS"" keyword or CCD is on the bill, send to WRO-HRO Freight Research queue 
- If NOT and is being disputed per Class, send to Billing Disputes queue
- BUT if the body of the bill has SDIM… the case can go to Billing Disputes                                                                    
• Dims inspections with the keyword ADIM 
• CCD (Cubic Capacity Load) and CAPL (Capacity Load) shipments and dispute is about the following
     - Terms/Code Update( apply better rates)
     - Class/NMFC correction
     -  Surcharge Pricing/Exception
     - Weight or Reweight Dispute
     - Document Request(FACERT or Inspection photo)
• Inspections with the keyword CLAS
• Customer is requesting for the picture of inspected shipments
• Request for inspection ruling
• Any case that is in Freight Research and is asking for an Offer on the shipment should be moved to Inspection Review.  In cases of where the freight charges are extremely high (capload, CCD, and inspections), we will sometimes review the cost of the shipment and provide an offer to the customer in order to get paid.

Move below sample to Invoice Reprint
• Any Documents regarding Inspection such as CAPL or CCD documents or Freight Analysis Certificate regarding Class change
• Requests for Dimension Certificate (with ADIM)
• OVRL/XLGH Documents - Freight Analysis Certificate or DIM/Inspection Photo - 
• Reweigh Document Request but PRO has ADIM keyword and the only imaged doc is DIM Certificate";Move the case;freightresearchreviews@fedex.com;"Case Owner: WRO HRO Freight Research
Case Origin: WRO HRO Freight Research
Sub Queue: Inspection Review

Subject: Enter CAPL in the subject line for valid CAPL shipment";
Inspection;"• CAPL/CCD Inspected PROs - follow guidelines

- If certificate is missing and requested, move to Freight Research > Inspection Review";Follow the updated guidelines on CAPL/CCD;freightresearchreviews@fedex.com;Click HERE for the updated guidelines on CAPL/CCD;
DIMP Rated Shipment;"\If you received a case or dispute from customers regarding the rates of the pro and found that it is rated as FLAT but does not have the following keyword(CAPL, TLX, TLS, CONT, RECP, RECC) meaning they are not rated as Capacity load, Volume Shipment or Reconsignment, check if the pro has a DIMP Keyword.

See sample screenshot below.








Space & Pace is in its pilot phase & is a new way of rating pros using DIMS VS class or NMFC’s.
The DIMP keyword is one of several that are added to the pros when we manually rate them to identify they are rated as Space & Pace.

The customers use LTL Select & in most cases get quotes that are DIM based.
All of these pros are trapped in an RQ queue and manually rated by their agents.";Forward the case;preferredcustomer@fedex.com;"""Hello,
Thank you for contacting us regarding your Fedex Shipment. However, we do not handle Dimensional Rated Shipments so your request has been forwarded to preferredcustomer@fedex.com

You will receive an email from preferredcustomer@fedex.com when your request has been completed or if more information is required to process your request.

For future inquiries similar to this and to streamline Salesforce cases and to properly document all requests submitted, going forward, please send your conern to preferredcustomer@fedex.com.
 
Thank you for shipping with FedEx and we hope you have a great day.

EBS Operations - Invoicing Solutions""";
International Shipments;"• International Shipments: Origin and/or Destination is Alaska, Hawaii, Puerto Rico, Mexico, US Virgin Islands
• International Rate quotes: Alaska, Hawaii, Puerto Rico, Canada & Mexico - case requesting detail for any International Quotes; AK, HI, PR, or D2D US/MX, these should be preprocessed into INTL disputes for review.  They can pull any of the requested quote detail to review or send to customers upon request.";Assign the Case to Intl Pricing Sub Queue;;"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: INTL Pricing Queue
Add ""INTL"" at the beginning of the subject line";
International Billing;• If BOL shows to be billed to a location outside US (except MX and CA), advise customer we do not bill a location outside US. E.g. 8728277924 shows bill to London UK;"Close the case and advise the customer
";;;
Cross-Border (US to CA or CA to US) Shipments Concern;"Customer has question or concern about customs paperwork or documents including where to send them

Provide the email address, fax number and phone number to the customer
- U.S. to Canada: email: FIS@FedEx.com
- Canada to U.S.: email: FISPAPS@FedEx.com";"Close the case and advise the customer
";;"• Shipper can send documents direct to FedEx Freight International at the below
contacts:
- U.S. to Canada: email: FIS@FedEx.com or fax: 870-391-2711
- Canada to U.S.: email: FISPAPS@FedEx.com or fax: 870-414-6175
• For any questions or issues, driver or shipper can reach out to FedEx Freight International at 1-800-351-5187.";
Truckload/ Volume Quote Application;"1. Ensure Volume Quote number (alphanumeric starts with F) is noted on the bill of lading
- Click HERE for guidelines

• Overflow Charge dispute on Volume Shipment
• Intra-Center verification to apply
• Customer requests for a copy of volume quote - customer will need to contact customer service or volume services at volumeservices@fedex.com

* Code Update(same debtor/customer) just for proper billing or for better rates to apply
* Rebill Request per BOL/LOA/RVSL/RECONSIGNMENT for Volume Quote Shipment
* Reference Edits
* Class/Weight Dispute for Volume Shipment(FLAT RATE)
* Reweighed pro
* Request to Apply Volume Quote for an LTL rated Pro
* Accessorial Dispute for a Volume Shipment
* CAPL Shipment but Request is to Apply Volume Quote
* Volume Shipment but Request is to Apply LTL.
* Questions on a Volume Shipment
* Upcharge or Overflow Charge Dispute

* Document Request - Move to Invoice Reprint";"Move the case
";;"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: Dispute Resolution

Put the VQ at the beginning of the subject line";
Parcel Shipments;"• Parcel - FedEx Express, or FedEx Ground Shipments

billing@fedex.com - other Express/Ground shipments/invoices concerns";Forward the case to billing@fedex.com and add the customer in the Additional To field & close the case as DENIED;billing@fedex.com;"Billing@fedex.com - Kindly assist the customer with the request below as it is notdirectly related to Freight LTL shipment. Please respond directly to the customer.  

[Enter Standard Greeting - Good morning, Good afternoon, Greetings, Hello,]. 

The information you provided appears to be for Ground/Express/Parcel shipment(s).

Ground/Express/Parcel shipment requests are handled by our FedEx Express/Parcel Team. I have transferred this case on your behalf to that team. You will receive a new case number for this request. Future communications will be attached to the new case number. You may also call (800) 622-1147 or (800) 463-3339 and select option 2 for assistance.

For future requests regarding Ground/Express/Parcel shipments, please send directly to billing@fedex.com for timely processing.

Thank you for shipping with FedEx and we hope you have a great day.
EBS Operations - Invoicing Solutions";
Parcel Shipments;"• Parcel - FedEx Express, or FedEx Ground Shipments

webmaster@fedex.com - copy of invoices or billing statements
";"Forward the case by doing a Warm Transfer
(add the customer in the Additional To field & close the case as DENIED)";webmaster@fedex.com;"[Enter Standard Greeting - Good morning, Good afternoon, Greetings, Hello,]. 

The information you provided appears to be for Ground/Express/Parcel shipment(s).

Ground/Express/Parcel shipment requests are handled by our FedEx Express/Parcel Team. I have transferred this case on your behalf to that team. You will receive a new case number for this request. Future communications will be attached to the new case number. You may also call (800) 622-1147 or (800) 463-3339 and select option 2 for assistance.

For future requests regarding Ground/Express/Parcel shipments, please send directly to billing@fedex.com for timely processing.

Thank you for shipping with FedEx and we hope you have a great day.
EBS Operations - Invoicing Solutions";
FedEx Trade Networks;"Customer provides an attachment with FedEx Trade Networks stamp and with Invoice number that are alphanumeric.

Even if FTN is not the debtor but still part of the Shipment(either Shipper or Consignee) and disputing the charges on their shipment.

- Disputes for Brokerage Inclusive Fee
- CBM Rates Dispute for Fedex Ocean Import

";"Forward the case 
(copy in the customer & close the case as denied)";ftn_us@fedex.com;"Hi,

Please see the request below and follow up with the customer.

Thank you,
EBS Operation - Invoicing Solution";
Intra-Canada (CA to CA);"Beginning 03/24/2022, all rates and disputes (except documents/invoice requests/Credit memo) for Intra-Canada shipments should be forwarded to domesticrates@fedex.com, copy the customer in. 
Backup documents or invoice request - Move to Invoice Reprint subqueue
Credit Memo - Move the PARENT CASE to Cash Research (Ask for approval first from Training Team or SME)";"Forward the case 
(copy in the customer & close the case as denied)";"domesticrates@fedex.com
(French)

freightinquiry@fedex.com is also under the same umbrella of domesticrates but we need to move to domesticrates";"Hello,
The information you provided appears to be for Intra Canada Shipment. Our department is unable to assist you, so your request has been forwarded to domesticrates@fedex.com.

You will receive an email from domesticrates@fedex.com when your request has been completed or if more information is required to process your request.

For future inquiries similar to this and to streamline Salesforce cases and to properly document all requests submitted, going forward, INTRA Canada Shipment disputes  need to be sent to domesticrates@fedex.com. 
 
Thank you for shipping with FedEx and we hope you have a great day.
EBS Operations - Invoicing Solutions""";
Web Review;"Subject or Body of the Bill says ""Collector Website Review"" or has ""Web Review""";Move the case;;"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: Web Review";
Manifest Statement/ Report;Customer requests for manifest report/statement;;;Tell the customer to use this link https://www.fedex.com/en-us/create-account/account-management.html#freight-shipments and click/use the Gain Insights button to learn more.;
Online Profile;"• Requesting for an assistance to create an online account
• Requesting any assistance about online account
  - Change Password
  - Log in Issue
  - Profile Issue";Reply to the customer then close the case as denied;myaccount@fedex.com;"Hi,

If you need support with website access for your FedEx Freight Account, contact the FBO Freight Billing Online Support Team email: fxf_fbosupport@FedEx.com or call 800.506.7580, Option 3.”

How to Register for (FBO) Freight FedEx Billing Online.
1. Go to https://www.FedEx.com/freightbilling
2. Login (or sign up by clicking “Sign Up Now”)
3. From the “Settings” tab:
a. “Account Management”
b. “Add new Account”
4. Complete the Online Registration
5. Click “Save “

Thank you,
EBS Operation - Invoicing Solution";
FedEx Billing Online (FBO) Account Concern;"Online tool that allows customers to manage their FedEx invoices and payments. It offers features like viewing invoices, scheduling payments, and downloading invoice information. It also allows users to dispute invoices and manage payment profiles, including setting up AutoPay. 

For mor information, you may access - https://www.fedex.com/content/dam/fedex-com/billing/help/FedEx_Billing_Online_User_Guide_en_us.pdf";"Forward the case 
(copy in the customer & close the case as denied)";fxf_fbosupport@fedex.com;"Enter Standard Greeting - Good morning, Good afternoon, Greetings, Hello,].

Thank you for contacting us regarding your FedEx Freight Online account.  Please email fxf_fbosupport@fedex.com for further assistance.

Now, you can view, dispute and make payments on FedEx Billing Online (FBO). FedEx Freight has an FBO Application specific to Freight Invoices. FedEx Freight Invoices cannot be accessed via the same FBO Application that displays Parcel Invoices.

How to Register for (FBO) Freight FedEx Billing Online.
1. Go to https://wwww.fedex.com/freightbilling
2. Login (or sign up by clicking ""Sign Up Now"")
3. From the ""Settings"" tab:
	a. ""Account Management""
	b. ""Add new Account""
4. Complete the Online Registration
5. Click ""Save""

Thank you,
EBS Operation - Invoicing Solution

";
Fedex Ship Manager;"It allows users to prepare shipments, print labels, track packages, manage addresses, and generate reports. It's designed to streamline shipping operations for businesses of all sizes and integrate them with FedEx's services. 

For more information, you may access - https://www.fedex.com/en-us/shipping/ship-manager/online.html#";"Forward the case 
(copy in the customer & close the case as denied)";;"[Enter Standard Greeting - Good morning, Good afternoon, Greetings, Hello,].

For questions or requests regarding the Online Portal for FedEx Ship Manager, please call (800) 435-7949, and Select Option 1 for Technical Support Assistance. 

Thank you for shipping with FedEx and we hope you have a great day.

EBS Operations - Invoicing Solutions";
Customer's Portal Issue;When customer claims that the invoices are not available or not showing on their portal, they may be talking about their own websites and normally, if invoice is not sent via EDI, it will not show on their portal. Check for available EDI billing account ;"1. Check the account where the Pros are billed. Go to Invoice Profile and verify the Invoice/Print group
2. If not on EDI, verify BOL if PROs should be billing to their Billing account that is on EDI. Exhaust resources to locate an EDI account e.g. previous shipments, other shipments paid, etc
3. If none found, advise if that the invoices were sent via Paper or Email, ask for a billing account that is on EDI to get the PROs updated so invoices will start showing on their portal";;;
Certificate of Insurance;Certificate of Insurance Audit request;Reply to the customer then close the case as denied;;"Hi,

Please visit https://www.fedex.com/en-us/trust-center/insurance.html

Thank you,
EBS Operation - Invoicing Solution";
"• Bankruptcy
• Write-Off Submitted
• Remove Account from Agency";Please note if a case is telling us that a write-off has already been submitted for collections, it should be sent to  Valarie Eason.;Forward the case;vfeason@fedex.com;Forward the bankruptcy case to Valarie Eason (vfeason@fedex.com) and close out your case;
Invoice Validation;All cases with “Invoice Validation Error” in the subject line should be moved to Marilyn Mrazik;Move the case;;"Case Owner: Marilyn Mrazik
Case Origin: WRO Main Invoicing
Sub Queue: Blank
";
Fedex Freight Cost;Customer is requesting for their Daily Shipment Information;Reply to the customer then close the case as denied;https://www.fedex.com/en-us/reporting-online.html;"Hi,

Please visit https://www.fedex.com/en-us/reporting-online.html regarding your request.

Thank you,
EBS Operation - Invoicing Solution";
"Disputes for Government Account


";"• All Dispute from Government Accounts

If the current debtor is Non-Government but the correct debtor per BOL is Government, OR if the request is to rebill the Government account per LOA:
o	Rebill to the Government account.
o	If an error message BR0370 appears, move it to the Government Department.
o	If shipment is rated as MRAP after the rebilling request, move it to the Government Department.
o	If no error, proceed with the request as normal.";Move the Case;;"Move to FXF_GOVT

Case Owner: FXF_GOVT
Case Origin: FXF_GOVT
Sub Queue: None

If current debtor is a Non Govt Account but shipment was moved to Government Location, this will not be considered a Government Shipment. DO NOT MOVE THE CASE";
US Bank's ;credit memos for eBill Credit;Move the Case;;"Case Owner: WRO Main Invoicing
Case Origin: WRO FXF USB
Sub-queue: None";
"SPOC Customers

◾Sealed Air
◾Echo Global Logistics
◾Uline
◾Grainger/Zoro
◾UBER/Transplace
◾Berry Global
◾CH Robinson

";"This includes the following.

1. Email domain of the sender shows one of the above companies.
 - Signature of the sender on the email shows they are from the above companies.
 2. Request comes from a Non SPOC customer but the request is to bill one of the listed SPOC Customer above.
   Example: Request is from Blue Grace Logistics(Non-SPOC Customer) but the request is to bill CH Robinson(SPOC Customer).
NOTE:
   A. If the case is still under Preprocessing, no need to review the BOL to confirm if the dispute is valid or not. Just move it right away to LTL Solutions.
   B. If the case is already under Billing Dispute, it is already your responsibility to review the BOL if the request is valid and should really be moved to LT Solutions. DO NOT CLONE ANY CASE FOR CREDIT. But you need to send an email to the Training team regarding the case incorrectly moved by Preprocessing team so Coaching can be provided to the agent.
3. Request comes from the Collector or Sales Rep to bill the SPOC customer, proceed and move it to LTL Solutions.
 - Email address of the sender is @fedex.com
4. Do not close any Duplicate cases for SPOC Customers. Regardless if it is Exact Duplicate, Update Request or Conversation Duplicate, move all the cases to LTL Solution. They will be the one to review the cases to confirm if they are really duplicate or not.";"Move the Case(only cases created starting Oct. 01, 2024)

";;"ALL DISPUTES/REQUESTS (Billing and Pricing disputes, all accessorial charges, write-off, overcharge claims, aging, web review, inspection, invoice reprint, backup documents, etc) received as of 10/01/2024 FROM one of the following customers should be moved to the new team. This also includes disputes FROM NON SPOC Customer but request is to bill invoice to an SPOC CUstomer.

You need to reassign the case.

1. Update record type to WRO-ODC Record Type
 2. Assign to below queue
     Case Owner: WRO-ODC-COORDINATORS17 
     Case Origin: WRO ODC LTL17
 4. If the case is a reopened case, ensure that the status is updated to NEW and delete disposition and closed reason
 
Subject: Include customer name (CHR, ULINE, UBER, SEALED AIR, GRAINGER, ECHO)


*Warm transfer is needed when moving the case to WRO-ODC-COORDINATORS17 except if the case is from Preprocessing and PPP";
"
White Glove Customers
Assign the case to the respective White Glove queue, ONLY if the request COMES FROM these customers (or FedEx agent filing a dispute on behalf of a white glove customer).

Also assign to WG if the disputing party is a Customer of WG and the current debtor is Customer % WG

Example:
Disputing Party: Walmart
Debtor: Walmart % CASS";"Assign to SBL Emails the following surcharge below even the debtor is WG
– Assign only when disputing the validity of the fee. If about pricing/discount or rebill, 
do not move to SBL, move to the appropriate White Glove queue

• Detention (DENP, DUNC, DUNP)
• Limited Access (LTDO, LTDD)
• Residential (RESO, RESD)
• Port (PRTD, PRTO, DOPO, DOPD)
• Exhibition/Convention Center Sites (COBO, JJCC, PRCC, EXBC, EXBS, MCPL)

• FOR INTELLIGENT AUDIT
	
Web Email: from ltlrr@intelligentaudit.com or reporting@app.intelligentaudit.com
 
Subject: (IA_)

It may have FXFE, FXNL, and/or FXFC (with comma or slash)
Their customer is listed inside [ ] with [date range]
Subject lines may not have exact format, but it will ALWAYS have [LTLRR]";"Move the Case to their Respective Sub queue

Assign the case to the respective White Glove queue, ONLY if the request COMES FROM these customers (or FedEx agent filing a dispute on behalf of a white glove customer).";;"All DISPUTES/REQUESTS (Billing and Pricing disputes, all accessorial charges, write-off, backup documents requests, ) received as of 10/20/2025 FROM one of the following customers, this should be move.

     Case Owner :  WRO Main Invoicing
     Case Origin :  WRO Main Invoicing
     SubQueue:      
         Queue - Customer:
         WG001 - E-shipping
         WG002 = Cass
         WG003 - Parker Hannifin % Cass
         WG004 - Lowes
         WG005 - LG Electronics
         WG006 - Intelligent Audit(only Mart will assign the case to WG006)
         WG007- Sherwin Williams


Case is under FPAD Processes – follow your current SOP
Request is under FBO Collections – follow your current SOP
Case is under SRC Freight – follow your current SOP
Overcharge Claim – assign to WRO HRO Overcharge Claim > WRO HRO Overcharge Claim > OVC Prep
Aging – assign to WRO Main Invoicing > WRO Main Invoicing > Invoice Reprint
Web Review – assign to WRO Main Invoicing > WRO Main Invoicing > Web Review
Account Updates – any Account Maintenance such as account changes should be assigned to WRO Main Invoicing > WRO Main Invoicing > Account Processing
Inspection or OVRL/XLGH Disputes – assign to WRO HRO Freight Research > WRO HRO Freight Research > Inspection Review (add the appropriate keyword)
Cash Research – assign to WRO Cash Research > WRO Cash Research > None (do not assign the clone case)
SBL Emails – see below when to assign to WRO Main Invoicing > WRO Main Invoicing > SBL Emails (add the appropriate keyword)  Assign only when disputing the validity of the fee. If about pricing/discount or rebill, 
do not move to SBL, move to the appropriate White Glove queue
";
WG001 E-shipping;"
White Glove Customers
Assign the case to the respective White Glove queue, ONLY if the request COMES FROM these customers (or FedEx agent filing a dispute on behalf of a white glove customer).

Also assign to WG if the disputing party is a Customer of WG and the current debtor is Customer % WG

Example:
Disputing Party: Walmart
Debtor: Walmart % EShipping";"Move the Case to their Respective Sub queue

Subject: Include customer name (Eshipping_, CASS, PH_, HD_, RRD_, IA_, SW_)

*Warm transfer is needed when moving the case to WRO WG except if the case is from Preprocessing and PPP";;"All DISPUTES/REQUESTS (Billing and Pricing disputes, all accessorial charges, write-off, backup documents requests, ) received as of 10/20/2025 FROM one of the following customers, this should be move.

     Case Owner :  WRO Main Invoicing
     Case Origin :  WRO Main Invoicing
     SubQueue:      
         Queue - Customer:
         WG001 - E-shipping
         WG002 = Cass
         WG003 - Parker Hannifin % Cass
         WG004 - Lowes
         WG005 - LG Electronics
         WG006 - Intelligent Audit(only Mart will assign the case to WG006)
         WG007- Sherwin Williams


Case is under FPAD Processes – follow your current SOP
Request is under FBO Collections – follow your current SOP
Case is under SRC Freight – follow your current SOP
Overcharge Claim – assign to WRO HRO Overcharge Claim > WRO HRO Overcharge Claim > OVC Prep
Aging – assign to WRO Main Invoicing > WRO Main Invoicing > Invoice Reprint
Web Review – assign to WRO Main Invoicing > WRO Main Invoicing > Web Review
Account Updates – any Account Maintenance such as account changes should be assigned to WRO Main Invoicing > WRO Main Invoicing > Account Processing
Inspection or OVRL/XLGH Disputes – assign to WRO HRO Freight Research > WRO HRO Freight Research > Inspection Review (add the appropriate keyword)
Cash Research – assign to WRO Cash Research > WRO Cash Research > None (do not assign the clone case)
SBL Emails – see below when to assign to WRO Main Invoicing > WRO Main Invoicing > SBL Emails (add the appropriate keyword)  Assign only when disputing the validity of the fee. If about pricing/discount or rebill, 
do not move to SBL, move to the appropriate White Glove queue
";
WG002 Cass;"
White Glove Customers
Assign the case to the respective White Glove queue, ONLY if the request COMES FROM these customers (or FedEx agent filing a dispute on behalf of a white glove customer).

Also assign to WG if the disputing party is a Customer of WG and the current debtor is Customer % WG

Example:
Disputing Party: Walmart
Debtor: Walmart % CASS";"Move the Case to their Respective Sub queue

Subject: Include customer name (Eshipping_, CASS, PH_, HD_, RRD_, IA_, SW_)

*Warm transfer is needed when moving the case to WRO WG except if the case is from Preprocessing and PPP";;"All DISPUTES/REQUESTS (Billing and Pricing disputes, all accessorial charges, write-off, backup documents requests, ) received as of 10/20/2025 FROM one of the following customers, this should be move.

     Case Owner :  WRO Main Invoicing
     Case Origin :  WRO Main Invoicing
     SubQueue:      
         Queue - Customer:
         WG001 - E-shipping
         WG002 = Cass
         WG003 - Parker Hannifin % Cass
         WG004 - Lowes
         WG005 - LG Electronics
         WG006 - Intelligent Audit(only Mart will assign the case to WG006)
         WG007- Sherwin Williams


Case is under FPAD Processes – follow your current SOP
Request is under FBO Collections – follow your current SOP
Case is under SRC Freight – follow your current SOP
Overcharge Claim – assign to WRO HRO Overcharge Claim > WRO HRO Overcharge Claim > OVC Prep
Aging – assign to WRO Main Invoicing > WRO Main Invoicing > Invoice Reprint
Web Review – assign to WRO Main Invoicing > WRO Main Invoicing > Web Review
Account Updates – any Account Maintenance such as account changes should be assigned to WRO Main Invoicing > WRO Main Invoicing > Account Processing
Inspection or OVRL/XLGH Disputes – assign to WRO HRO Freight Research > WRO HRO Freight Research > Inspection Review (add the appropriate keyword)
Cash Research – assign to WRO Cash Research > WRO Cash Research > None (do not assign the clone case)
SBL Emails – see below when to assign to WRO Main Invoicing > WRO Main Invoicing > SBL Emails (add the appropriate keyword)  Assign only when disputing the validity of the fee. If about pricing/discount or rebill, 
do not move to SBL, move to the appropriate White Glove queue
";
WG003 Parker Hannifin;"
White Glove Customers
Assign the case to the respective White Glove queue, ONLY if the request COMES FROM these customers (or FedEx agent filing a dispute on behalf of a white glove customer).

Also assign to WG if the disputing party is a Customer of WG and the current debtor is Customer % WG

Example:
Disputing Party: Walmart
Debtor: Walmart % Parker Hannifin";"Move the Case to their Respective Sub queue

Subject: Include customer name (Eshipping_, CASS, PH_, HD_, RRD_, IA_, SW_)

*Warm transfer is needed when moving the case to WRO WG except if the case is from Preprocessing and PPP";;"All DISPUTES/REQUESTS (Billing and Pricing disputes, all accessorial charges, write-off, backup documents requests, ) received as of 10/20/2025 FROM one of the following customers, this should be move.

     Case Owner :  WRO Main Invoicing
     Case Origin :  WRO Main Invoicing
     SubQueue:      
         Queue - Customer:
         WG001 - E-shipping
         WG002 = Cass
         WG003 - Parker Hannifin % Cass
         WG004 - Lowes
         WG005 - LG Electronics
         WG006 - Intelligent Audit(only Mart will assign the case to WG006)
         WG007- Sherwin Williams


Case is under FPAD Processes – follow your current SOP
Request is under FBO Collections – follow your current SOP
Case is under SRC Freight – follow your current SOP
Overcharge Claim – assign to WRO HRO Overcharge Claim > WRO HRO Overcharge Claim > OVC Prep
Aging – assign to WRO Main Invoicing > WRO Main Invoicing > Invoice Reprint
Web Review – assign to WRO Main Invoicing > WRO Main Invoicing > Web Review
Account Updates – any Account Maintenance such as account changes should be assigned to WRO Main Invoicing > WRO Main Invoicing > Account Processing
Inspection or OVRL/XLGH Disputes – assign to WRO HRO Freight Research > WRO HRO Freight Research > Inspection Review (add the appropriate keyword)
Cash Research – assign to WRO Cash Research > WRO Cash Research > None (do not assign the clone case)
SBL Emails – see below when to assign to WRO Main Invoicing > WRO Main Invoicing > SBL Emails (add the appropriate keyword)  Assign only when disputing the validity of the fee. If about pricing/discount or rebill, 
do not move to SBL, move to the appropriate White Glove queue
";
WG004 Lowes;"
White Glove Customers
Assign the case to the respective White Glove queue, ONLY if the request COMES FROM these customers (or FedEx agent filing a dispute on behalf of a white glove customer).

Also assign to WG if the disputing party is a Customer of WG and the current debtor is Customer % WG

Example:
Disputing Party: Walmart
Debtor: Walmart % Lowes";"Move the Case to their Respective Sub queue

Subject: Include customer name (Eshipping_, CASS, PH_, HD_, RRD_, IA_, SW_)

*Warm transfer is needed when moving the case to WRO WG except if the case is from Preprocessing and PPP";;"All DISPUTES/REQUESTS (Billing and Pricing disputes, all accessorial charges, write-off, backup documents requests, ) received as of 10/20/2025 FROM one of the following customers, this should be move.

     Case Owner :  WRO Main Invoicing
     Case Origin :  WRO Main Invoicing
     SubQueue:      
         Queue - Customer:
         WG001 - E-shipping
         WG002 = Cass
         WG003 - Parker Hannifin % Cass
         WG004 - Lowes
         WG005 - LG Electronics
         WG006 - Intelligent Audit(only Mart will assign the case to WG006)
         WG007- Sherwin Williams


Case is under FPAD Processes – follow your current SOP
Request is under FBO Collections – follow your current SOP
Case is under SRC Freight – follow your current SOP
Overcharge Claim – assign to WRO HRO Overcharge Claim > WRO HRO Overcharge Claim > OVC Prep
Aging – assign to WRO Main Invoicing > WRO Main Invoicing > Invoice Reprint
Web Review – assign to WRO Main Invoicing > WRO Main Invoicing > Web Review
Account Updates – any Account Maintenance such as account changes should be assigned to WRO Main Invoicing > WRO Main Invoicing > Account Processing
Inspection or OVRL/XLGH Disputes – assign to WRO HRO Freight Research > WRO HRO Freight Research > Inspection Review (add the appropriate keyword)
Cash Research – assign to WRO Cash Research > WRO Cash Research > None (do not assign the clone case)
SBL Emails – see below when to assign to WRO Main Invoicing > WRO Main Invoicing > SBL Emails (add the appropriate keyword)  Assign only when disputing the validity of the fee. If about pricing/discount or rebill, 
do not move to SBL, move to the appropriate White Glove queue
";
WG005 LG Electronics;"
White Glove Customers
Assign the case to the respective White Glove queue, ONLY if the request COMES FROM these customers (or FedEx agent filing a dispute on behalf of a white glove customer).

Also assign to WG if the disputing party is a Customer of WG and the current debtor is Customer % WG

Example:
Disputing Party: Walmart
Debtor: Walmart % LG Electronics";"Move the Case to their Respective Sub queue

Subject: Include customer name (Eshipping_, CASS, PH_, HD_, RRD_, IA_, SW_)

*Warm transfer is needed when moving the case to WRO WG except if the case is from Preprocessing and PPP";;"All DISPUTES/REQUESTS (Billing and Pricing disputes, all accessorial charges, write-off, backup documents requests, ) received as of 10/20/2025 FROM one of the following customers, this should be move.

     Case Owner :  WRO Main Invoicing
     Case Origin :  WRO Main Invoicing
     SubQueue:      
         Queue - Customer:
         WG001 - E-shipping
         WG002 = Cass
         WG003 - Parker Hannifin % Cass
         WG004 - Lowes
         WG005 - LG Electronics
         WG006 - Intelligent Audit(only Mart will assign the case to WG006)
         WG007- Sherwin Williams


Case is under FPAD Processes – follow your current SOP
Request is under FBO Collections – follow your current SOP
Case is under SRC Freight – follow your current SOP
Overcharge Claim – assign to WRO HRO Overcharge Claim > WRO HRO Overcharge Claim > OVC Prep
Aging – assign to WRO Main Invoicing > WRO Main Invoicing > Invoice Reprint
Web Review – assign to WRO Main Invoicing > WRO Main Invoicing > Web Review
Account Updates – any Account Maintenance such as account changes should be assigned to WRO Main Invoicing > WRO Main Invoicing > Account Processing
Inspection or OVRL/XLGH Disputes – assign to WRO HRO Freight Research > WRO HRO Freight Research > Inspection Review (add the appropriate keyword)
Cash Research – assign to WRO Cash Research > WRO Cash Research > None (do not assign the clone case)
SBL Emails – see below when to assign to WRO Main Invoicing > WRO Main Invoicing > SBL Emails (add the appropriate keyword)  Assign only when disputing the validity of the fee. If about pricing/discount or rebill, 
do not move to SBL, move to the appropriate White Glove queue
";
WG006 Intelligent Audit;"
White Glove Customers
Assign the case to the respective White Glove queue, ONLY if the request COMES FROM these customers (or FedEx agent filing a dispute on behalf of a white glove customer).

Also assign to WG if the disputing party is a Customer of WG and the current debtor is Customer % WG

Example:
Disputing Party: Walmart
Debtor: Walmart % Intelligent Audit";"Move the Case to their Respective Sub queue

Subject: Include customer name (Eshipping_, CASS, PH_, HD_, RRD_, IA_, SW_)

*Warm transfer is needed when moving the case to WRO WG except if the case is from Preprocessing and PPP";;"For Preprocessing Team, For Intelligent Audit
    Case Owner : Mart Bermejo
    Case Origin :  WRO Main Invoicing
    Intelligent Audit – No SubQueue

Case is under FPAD Processes – follow your current SOP
Request is under FBO Collections – follow your current SOP
Case is under SRC Freight – follow your current SOP
Overcharge Claim – assign to WRO HRO Overcharge Claim > WRO HRO Overcharge Claim > OVC Prep
Aging – assign to WRO Main Invoicing > WRO Main Invoicing > Invoice Reprint
Web Review – assign to WRO Main Invoicing > WRO Main Invoicing > Web Review
Account Updates – any Account Maintenance such as account changes should be assigned to WRO Main Invoicing > WRO Main Invoicing > Account Processing
Inspection or OVRL/XLGH Disputes – assign to WRO HRO Freight Research > WRO HRO Freight Research > Inspection Review (add the appropriate keyword)
Cash Research – assign to WRO Cash Research > WRO Cash Research > None (do not assign the clone case)
SBL Emails – see below when to assign to WRO Main Invoicing > WRO Main Invoicing > SBL Emails (add the appropriate keyword)";
